,,,,,,
,,"Figure 10: Weekly rate of COVID-19 cases per 100,000 population tested under Pillar 1 and 2, 
",,,,
,,"by upper-tier local authority, England ",,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,UTLA code,UTLA name,"Rate per 100,000 population",,,
,E09000002,Barking and Dagenham,6.6,,,
,E09000003,Barnet,5.1,,,
,E08000016,Barnsley,5.3,,,
,E06000022,Bath and North East Somerset,3.1,,,
,E06000055,Bedford,15.7,,,
,E09000004,Bexley,5.7,,,
,E08000025,Birmingham,12.8,,,
,E06000008,Blackburn with Darwen,85.9,,,
,E06000009,Blackpool,5.7,,,
,E08000001,Bolton,14.0,,,
,E06000058,"Bournemouth, Christchurch and Poole",2.0,,,
,E06000036,Bracknell Forest,2.5,,,
,E08000032,Bradford,45.1,,,
,E09000005,Brent,8.5,,,
,E06000043,Brighton and Hove,6.2,,,
,E06000023,"Bristol, City of",4.1,,,
,E09000006,Bromley,1.5,,,
,E10000002,Buckinghamshire,2.4,,,
,E08000002,Bury,12.1,,,
,E08000033,Calderdale,28.6,,,
,E10000003,Cambridgeshire,5.2,,,
,E09000007,Camden,2.3,,,
,E06000056,Central Bedfordshire,4.2,,,
,E06000049,Cheshire East,1.6,,,
,E06000050,Cheshire West and Chester,5.9,,,
,E06000052,Cornwall and Isles of Scilly,3.3,,,
,E06000047,County Durham,2.3,,,
,E08000026,Coventry,9.3,,,
,E09000008,Croydon,2.3,,,
,E10000006,Cumbria,8.2,,,
,E06000005,Darlington,1.9,,,
,E06000015,Derby,2.7,,,
,E10000007,Derbyshire,4.9,,,
,E10000008,Devon,1.5,,,
,E08000017,Doncaster,3.2,,,
,E06000059,Dorset,0.8,,,
,E08000027,Dudley,5.0,,,
,E09000009,Ealing,6.1,,,
,E06000011,East Riding of Yorkshire,1.2,,,
,E10000011,East Sussex,3.4,,,
,E09000010,Enfield,0.9,,,
,E10000012,Essex,5.0,,,
,E08000037,Gateshead,1.5,,,
,E10000013,Gloucestershire,2.7,,,
,E09000011,Greenwich,6.6,,,
,E09000012/E09000001,Hackney and City of London,14.6,,,
,E06000006,Halton,1.6,,,
,E09000013,Hammersmith and Fulham,8.1,,,
,E10000014,Hampshire,2.3,,,
,E09000014,Haringey,4.8,,,
,E09000015,Harrow,5.2,,,
,E06000001,Hartlepool,10.7,,,
,E09000016,Havering,7.0,,,
,E06000019,"Herefordshire, County of",5.7,,,
,E10000015,Hertfordshire,3.9,,,
,E09000017,Hillingdon,4.3,,,
,E09000018,Hounslow,5.9,,,
,E06000046,Isle of Wight,-,,,
,E09000019,Islington,5.4,,,
,E09000020,Kensington and Chelsea,7.7,,,
,E10000016,Kent,8.5,,,
,E06000010,"Kingston upon Hull, City of",3.5,,,
,E09000021,Kingston upon Thames,3.4,,,
,E08000034,Kirklees,19.8,,,
,E08000011,Knowsley,3.3,,,
,E09000022,Lambeth,5.2,,,
,E10000017,Lancashire,11.7,,,
,E08000035,Leeds,4.3,,,
,E06000016,Leicester,53.2,,,
,E10000018,Leicestershire,8.6,,,
,E09000023,Lewisham,4.9,,,
,E10000019,Lincolnshire,2.3,,,
,E08000012,Liverpool,7.1,,,
,E06000032,Luton,18.2,,,
,E08000003,Manchester,22.1,,,
,E06000035,Medway,3.6,,,
,E09000024,Merton,3.9,,,
,E06000002,Middlesbrough,4.3,,,
,E06000042,Milton Keynes,2.6,,,
,E08000021,Newcastle upon Tyne,0.7,,,
,E09000025,Newham,2.8,,,
,E10000020,Norfolk,2.1,,,
,E06000012,North East Lincolnshire,1.9,,,
,E06000013,North Lincolnshire,1.7,,,
,E06000024,North Somerset,1.9,,,
,E08000022,North Tyneside,2.4,,,
,E10000023,North Yorkshire,2.6,,,
,E10000021,Northamptonshire,9.9,,,
,E06000057,Northumberland,2.2,,,
,E06000018,Nottingham,2.4,,,
,E10000024,Nottinghamshire,4.7,,,
,E08000004,Oldham,54.3,,,
,E10000025,Oxfordshire,8.2,,,
,E06000031,Peterborough,19.4,,,
,E06000026,Plymouth,1.9,,,
,E06000044,Portsmouth,1.4,,,
,E06000038,Reading,6.7,,,
,E09000026,Redbridge,3.3,,,
,E06000003,Redcar and Cleveland,-,,,
,E09000027,Richmond upon Thames,3.6,,,
,E08000005,Rochdale,32.7,,,
,E08000018,Rotherham,11.0,,,
,E06000017,Rutland,7.6,,,
,E08000006,Salford,18.1,,,
,E08000028,Sandwell,30.9,,,
,E08000014,Sefton,5.8,,,
,E08000019,Sheffield,15.3,,,
,E06000051,Shropshire,5.9,,,
,E06000039,Slough,2.7,,,
,E08000029,Solihull,4.7,,,
,E10000027,Somerset,1.1,,,
,E06000025,South Gloucestershire,1.8,,,
,E08000023,South Tyneside,2.7,,,
,E06000045,Southampton,5.5,,,
